title,price,emi,mileage,fuel,location
2022 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Rs. 1.2 Crore,EMI at,"42,340 km",Diesel,"Banjara Hills Hyderabad, Hyderabad"
2022 BMW X1 sDrive20d xLine,Rs. 34.5 Lakh,EMI at,"49,500 km",Diesel,"Jubilee Hills, Hyderabad"
2022 Nissan Magnite XL Turbo CVT,Rs. 8.25 Lakh,EMI at,"18,072 km",Petrol,"Madhapur, Hyderabad"
2017 Hyundai Creta 1.6 S Plus AT,Rs. 11 Lakh,EMI at,"87,900 km",Diesel,"Attapur, Hyderabad"
2016 Land Rover Range Rover Evoque HSE,Rs. 25 Lakh,EMI at,"1,33,457 km",Diesel,"Begumpet, Hyderabad"
2023 Maruti Suzuki Swift VXi AMT,Rs. 7.85 Lakh,EMI at,"25,428 km",Petrol,"Madhapur, Hyderabad"
2017 BMW 5-Series 520d Luxury Line [2017-2019],Rs. 26 Lakh,EMI at,"95,000 km",Diesel,"East Marredpally, Hyderabad"
2019 Renault Kwid RXL,Rs. 2.93 Lakh,EMI at,"70,580 km",Petrol,"A P E R L, Hyderabad"
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 17 Lakh,EMI at,"24,473 km",Diesel,"Madhapur, Hyderabad"
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Rs. 14.5 Lakh,EMI at,"56,400 km",Diesel,"Attapur, Hyderabad"
2016 Volkswagen Polo GT TSI,Rs. 7 Lakh,EMI at,"66,200 km",Petrol,"Attapur, Hyderabad"
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Rs. 15 Lakh,EMI at,"28,800 km",Diesel,"Attapur, Hyderabad"
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 15 Lakh,EMI at,"30,500 km",Diesel,"Attapur, Hyderabad"
2021 Mahindra Thar LX Convertible Petrol AT,Rs. 14 Lakh,EMI at,"15,000 km",Petrol,"Madhapur, Hyderabad"
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 17 Lakh,EMI at,"45,000 km",Diesel,"Madhapur, Hyderabad"
